id,name,district,state,registered_on,is_active
281,Prakash Hosamani,Bijapur,Karnataka,2019-10-12,TRUE
282,Ningappa Hiremath,Mysore,Karnataka,2023-06-03,TRUE
283,Hanumanth Patil,Tumkur,Karnataka,2022-08-02,TRUE
284,Ganesh Patil,Bellary,Karnataka,2021-02-12,TRUE
285,Kavita Gowda,Solapur,Maharashtra,2025-10-24,TRUE
286,Suresh Kamble,Bijapur,Karnataka,2023-06-27,TRUE
287,Gurappa Talwar,Solapur,Maharashtra,2024-03-26,TRUE
288,Parvati Badiger,Sangli,Maharashtra,2019-05-07,FALSE
289,Suresh Mane,Gulbarga,Karnataka,2021-09-13,TRUE
290,Nagaraj Biradar,Tumkur,Karnataka,2019-11-07,TRUE
291,Sunanda Mane,Belgaum,Karnataka,2021-02-26,TRUE
292,Geeta Badiger,Mysore,Karnataka,2022-06-06,TRUE
293,Siddappa Biradar,Mandya,Karnataka,2025-02-24,TRUE
294,Mallikarjun Desai,Mysore,Karnataka,2023-05-11,FALSE
295,Savitri Chougule,Bellary,Karnataka,2021-08-20,TRUE
296,Renuka Badiger,Bijapur,Karnataka,2021-08-02,TRUE
297,Mallikarjun Hosamani,Bellary,Karnataka,2021-11-26,TRUE
298,Savitri Jadhav,Dharwad,Karnataka,2021-09-26,TRUE
299,Ramesh Naik,Bijapur,Karnataka,2025-10-22,TRUE
300,Shivanand Hiremath,Belgaum,Karnataka,2020-11-12,TRUE
